;Period;TypeOfContract;max(SumaP);Total;TermAvg;AvgDelay;median(Delay);RR_Total;RR_SumaP;RR_Maturity;AvgSummaP
1;201801;Свободна професия (самонает);15000;2;16;1;1;0.73;1.52;1.52;12500
2;201802;Безсрочен трудов договор;15000;2;12;18;18;0.71;1.28;1.28;14000
3;201802;Договор за управление;10000;1;28;0;0;0.36;1;1;10000
4;201802;Свободна професия (самонает);15000;2;19;3;3;0.66;1.39;1.39;12500
5;201803;Самоосигуряващ се;15000;2;14;0;0;0.61;1.21;1.21;15000
6;201803;Свободна професия (самонает);15000;3;6;5.33;7;1;1.49;1.49;11666.66667
7;201804;Безсрочен трудов договор;15000;1;15;6;6;1;1.5;1.5;15000
8;201804;Свободна професия (самонает);15000;4;20;0.5;0;0.43;1;1;13250
9;201805;Друго;15000;1;15;0;0;0.67;1;1;15000
10;201805;Самоосигуряващ се;15000;1;6;0;0;0.33;0.62;0.62;15000
11;201805;Свободна професия (самонает);10000;2;8;1.5;1.5;0.46;0.73;0.73;10000
12;201806;Безсрочен трудов договор;10000;16;17;-2.88;0;0.21;0.45;0.45;9625
13;201806;Граждански договор;10000;3;12;-4.67;0;0.46;0.75;0.75;9666.666667
14;201806;Самоосигуряващ се;10000;2;16;4.5;4.5;0.19;0.33;0.33;10000
15;201806;Свободна професия (самонает);15000;6;16;0;0;0.15;0.31;0.31;10833.33333
16;201806;Срочен трудов договор;10000;1;12;3;3;0;0;0;10000
17;201807;Безсрочен трудов договор;10000;37;14;-0.22;0;0.08;0.15;0.15;9743.243243
18;201807;Друго;8000;2;12;0;0;0;0;0;8000
19;201807;Майчинство;10000;1;11;0;0;0;0;0;10000
20;201807;Самоосигуряващ се;15000;10;15;0.3;0;0.07;0.13;0.13;10250
21;201807;Свободна професия (самонает);15000;11;14;-0.18;0;0.1;0.18;0.18;10636.36364
22;201807;Срочен трудов договор;10000;2;10;-0.5;-0.5;0.03;0.07;0.07;9000
